inchikey	drugbank_id	pubchem_cid	bioavailability	bioavailability_evidence	bioavailability_source	clearance	clearance_evidence	clearance_source	half_life	half_life_evidence	half_life_source	volume_of_distribution	volume_of_distribution_evidence	volume_of_distribution_source	ld50	ld50_evidence	ld50_source	mutagenicity	mutagenicity_evidence	mutagenicity_source	fetch_date	source_version
OWYKAFABUYXQLE-JTQLQIEISA-N	DB07273			none	none		none	none		none	none		none	none		none	none		none	none	2026-04-12	DrugBank:5.1|exported-on:2026-01-04;molecule_xref_core_v2
OWYLAEYXIQKAOL-UHFFFAOYSA-N	DB13510	11112743		none	none		none	none		none	none		none	none		none	none		none	none	2026-04-12	DrugBank:5.1|exported-on:2026-01-04;molecule_xref_core_v2
OWZREIFADZCYQD-NSHGMRRFSA-N	DB13600	144208630		none	none		none	none		none	none		none	none		none	none		none	none	2026-04-12	DrugBank:5.1|exported-on:2026-01-04;molecule_xref_core_v2
OXBBIHZWNDPBMQ-UHFFFAOYSA-N	DB20373			none	none		none	none		none	none		none	none		none	none		none	none	2026-04-12	DrugBank:5.1|exported-on:2026-01-04;molecule_xref_core_v2
OXBLHERUFWYNTN-UHFFFAOYSA-M	DB15535			none	none		none	none		none	none		none	none		none	none		none	none	2026-04-12	DrugBank:5.1|exported-on:2026-01-04;molecule_xref_core_v2
OXCRVQDEVWYAJE-UHFFFAOYSA-N	DB21013			none	none		none	none		none	none		none	none		none	none		none	none	2026-04-12	DrugBank:5.1|exported-on:2026-01-04;molecule_xref_core_v2
OXDDDHGGRFRLEE-UHFFFAOYSA-N	DB11369			none	none		none	none		none	none		none	none		none	none		none	none	2026-04-12	DrugBank:5.1|exported-on:2026-01-04;molecule_xref_core_v2
OXDOWGVJMITMJL-UHFFFAOYSA-N	DB13566			none	none		none	none		none	none		none	none		none	none		none	none	2026-04-12	DrugBank:5.1|exported-on:2026-01-04;molecule_xref_core_v2
OXFGTKPPFSCSMA-XVKPBYJWSA-N	DB11610			none	none		none	none		none	none		none	none		none	none		none	none	2026-04-12	DrugBank:5.1|exported-on:2026-01-04;molecule_xref_core_v2
OXHNQTSIKGHVBH-ANULTFPQSA-N	DB06870			none	none		none	none		none	none		none	none		none	none		none	none	2026-04-12	DrugBank:5.1|exported-on:2026-01-04;molecule_xref_core_v2
OXHQNTSSPHKCPB-IYEMJOQQSA-L	DB11141			none	none		none	none		none	none		none	none		none	none		none	none	2026-04-12	DrugBank:5.1|exported-on:2026-01-04;molecule_xref_core_v2
OXJNOWPZKFUKNS-AWEZNQCLSA-N	DB21630			none	none		none	none		none	none		none	none		none	none		none	none	2026-04-12	DrugBank:5.1|exported-on:2026-01-04;molecule_xref_core_v2
